Study_Hours,Sleep_Hours,Attendance_Percentage,CGPA,Social_Media_Hours,Physical_Activity_Hours,Family_Pressure,Financial_Stress,Exam_Score,Stress_Level
3,9,95,6.3,0,2,3,5,54,Low
9,7,85,5.97,4,2,3,5,85,Medium
1,3,89,5.29,5,3,3,3,73,Low
1,9,86,6.71,5,0,1,2,71,Low
4,7,82,6.35,4,2,4,2,84,Low
9,8,85,9.83,2,2,2,3,68,Low
6,8,52,7.79,4,0,1,4,67,Low
11,3,58,6.74,7,3,4,2,65,High
3,4,57,7.9,1,2,4,1,88,Low
1,3,82,5.7,5,1,2,3,78,Medium
4,6,55,7.22,8,2,2,2,68,Low
12,9,90,8.13,7,1,2,4,96,High
9,5,88,7.44,7,3,1,2,57,Medium
3,4,53,7.01,7,2,5,5,80,High
12,3,62,9.97,6,0,2,1,90,High
9,7,98,9.4,7,0,5,3,41,High
7,4,51,8.12,5,2,1,5,95,Medium
12,9,54,7.85,1,3,5,4,37,Medium
4,4,93,8.1,1,3,3,5,72,Medium
3,9,76,6.01,7,0,5,5,68,Medium
10,3,81,6.98,0,2,2,4,78,Medium
5,9,70,5.2,5,3,1,5,64,Low
5,4,57,7.38,5,0,2,3,51,Medium
3,7,87,7.72,3,1,3,2,93,Low
12,8,57,6.14,2,2,2,5,44,Medium
9,4,99,9.82,2,1,2,3,52,Medium
4,9,52,9.55,0,1,2,2,79,Low
11,8,93,8.61,2,3,4,2,93,Medium
5,9,52,7.67,3,3,3,5,96,Low
4,7,71,9.35,4,3,2,3,93,Low
5,9,55,5.65,2,2,2,5,83,Low
7,3,51,8.95,5,1,2,4,97,High
9,5,72,5.62,4,2,1,2,66,Medium
7,4,93,8.97,2,3,4,5,44,Medium
5,5,51,6.38,5,1,1,2,45,Low
10,9,87,9.39,5,2,4,3,96,Medium
10,7,66,9.72,7,2,2,1,81,Medium
7,4,84,5.74,1,0,3,5,68,High
10,9,83,7.31,0,2,5,5,51,Medium
5,8,72,9.9,3,3,5,2,88,Low
3,6,79,7.42,6,2,2,3,74,Low
7,9,57,9.32,2,1,1,4,53,Low
11,5,71,7.94,2,2,3,3,87,Medium
11,4,93,6.88,4,0,4,5,98,High
2,5,85,6.43,4,1,2,4,81,Low
12,4,54,6.02,2,1,3,3,40,High
9,9,62,8.81,8,0,3,1,50,Medium
10,3,78,6.93,3,3,4,2,52,High
10,8,80,7.56,2,1,3,3,86,Medium
12,9,96,7.46,1,3,1,3,82,Low
1,5,65,7.89,8,1,1,1,77,Low
6,6,91,9.33,3,1,1,5,73,Medium
7,6,79,9.9,2,3,3,2,83,Low
8,7,65,7.04,6,1,1,3,46,Medium
10,4,61,9.14,7,3,4,4,44,High
9,5,66,8.82,1,0,3,3,89,Medium
2,7,65,7.87,6,3,5,2,35,Low
11,5,61,9.78,4,0,3,3,83,High
10,4,57,6.0,4,1,4,1,70,High
2,9,69,5.55,2,3,5,3,55,Low
5,9,52,9.27,4,1,3,3,71,Low
5,6,65,7.2,1,3,1,4,58,Low
6,9,79,9.23,3,0,2,1,89,Low
3,9,94,9.47,5,0,2,1,59,Low
8,3,72,5.31,0,3,1,3,41,Medium
1,6,77,9.42,3,0,2,4,58,Low
6,7,100,7.24,5,1,2,3,45,Medium
4,8,89,7.55,8,1,1,3,46,Low
1,3,54,8.13,1,2,1,2,69,Low
7,7,69,9.63,6,0,3,2,97,Medium
9,4,89,5.1,5,1,3,4,91,High
4,3,93,7.38,1,3,1,5,47,Low
4,7,50,8.44,7,0,4,2,57,Medium
6,4,79,8.61,6,1,2,5,73,High
12,6,70,8.46,4,0,3,1,46,Medium
3,8,69,5.67,4,3,2,2,68,Low
12,4,55,6.5,6,1,5,2,65,High
6,9,71,6.79,8,2,1,4,96,Low
7,5,67,9.02,8,2,4,5,47,High
11,4,57,6.39,8,0,5,2,65,High
10,4,88,6.05,5,3,5,2,36,High
10,8,81,9.79,5,1,5,4,49,High
3,5,82,5.04,2,3,1,4,91,Low
7,9,65,9.99,0,1,3,5,68,Low
3,7,61,8.38,6,0,1,1,63,Low
2,7,87,9.14,3,1,3,1,100,Low
12,4,83,6.47,0,3,5,3,50,High
10,5,63,5.07,7,3,5,2,73,High
4,5,85,8.69,5,0,4,5,71,High
12,9,82,9.17,5,3,3,2,55,Medium
8,8,72,8.7,1,1,5,5,78,Medium
9,6,99,5.71,0,0,2,5,53,Medium
7,7,94,8.77,1,1,4,5,42,Medium
1,8,51,8.84,3,3,1,2,100,Low
3,3,90,8.29,1,0,4,4,75,Medium
12,7,70,8.83,0,1,2,2,95,Medium
9,8,51,9.23,6,3,3,5,60,Medium
12,7,76,8.07,7,3,1,3,63,Medium
1,6,58,5.44,5,2,1,1,100,Low
9,3,50,7.44,3,3,3,5,53,High
8,6,60,5.39,5,1,4,3,92,Medium
1,9,52,7.04,2,0,5,4,91,Low
6,3,72,7.04,7,2,4,5,71,High
5,4,75,5.33,1,3,2,3,95,Low
6,8,53,6.74,4,3,5,5,64,Medium
10,3,67,5.55,0,3,4,2,59,Medium
12,9,55,9.04,5,1,3,3,99,Medium
5,9,84,9.74,1,2,2,2,40,Low
6,6,71,5.36,3,1,2,2,52,Low
5,7,92,9.78,5,2,2,3,44,Low
11,3,64,7.61,7,0,5,1,45,High
12,8,71,6.5,7,1,1,3,99,Medium
5,3,86,5.38,5,1,5,1,99,Medium
4,5,91,7.5,3,0,4,5,86,Medium
3,7,61,8.97,7,2,1,5,65,Low
3,8,96,8.54,7,3,4,3,51,Low
4,8,98,5.25,0,0,1,5,89,Low
9,4,91,5.36,3,3,5,4,70,High
2,6,87,7.01,3,3,2,2,60,Low
9,4,67,6.48,6,0,3,2,87,High
1,8,94,6.16,6,2,2,1,51,Low
1,7,84,6.41,7,3,5,5,59,Medium
5,3,79,9.02,4,0,1,1,36,Medium
6,3,73,9.65,6,1,2,2,39,Medium
6,7,91,7.03,7,1,5,2,38,Medium
3,8,79,9.53,8,1,4,5,70,Medium
7,9,63,6.61,2,0,3,4,40,Medium
9,3,55,7.38,2,1,2,4,55,High
11,9,52,6.13,3,3,1,5,60,Medium
12,3,65,8.2,4,1,4,5,89,High
10,3,56,9.89,0,1,5,1,73,High
8,6,63,8.02,6,3,3,5,67,Medium
6,6,58,6.79,8,1,1,4,48,Medium
12,5,64,8.24,7,3,5,5,90,High
8,4,70,5.61,4,1,5,1,55,High
12,7,84,9.44,3,3,2,1,80,Medium
5,7,51,7.52,6,1,2,1,50,Low
8,7,76,7.25,4,3,1,1,50,Low
10,5,51,7.93,6,0,5,3,63,High
12,6,84,8.12,0,3,2,5,42,Medium
4,8,67,5.36,0,1,3,2,37,Low
10,9,63,8.41,2,1,3,5,53,Medium
8,9,69,6.21,1,2,5,3,100,Low
10,8,67,8.57,1,3,2,1,56,Low
12,5,59,9.11,6,0,1,3,80,High
2,8,74,9.02,1,3,1,4,47,Low
12,7,51,7.76,3,3,1,4,67,Medium
12,4,74,7.6,1,0,3,5,39,High
5,3,82,5.71,5,3,2,5,61,Medium
9,9,85,8.88,7,0,2,2,58,Medium
4,6,80,6.36,3,0,3,2,97,Low
11,6,63,7.48,4,3,1,4,82,Medium
6,5,50,6.42,3,3,1,1,97,Low
1,6,95,5.67,2,1,5,3,46,Low
9,7,65,8.15,4,1,4,2,62,Medium
1,9,95,5.27,8,2,2,2,78,Low
5,8,52,8.74,7,2,2,1,77,Low
4,7,84,6.59,7,3,2,1,51,Low
12,5,90,5.0,7,0,4,5,74,High
3,7,55,7.56,7,2,5,3,83,Medium
6,8,74,5.23,6,3,4,1,91,Low
2,4,62,6.38,7,2,1,2,98,Low
3,5,83,8.53,7,0,1,2,91,Low
5,4,57,5.31,7,3,2,4,77,Medium
9,3,70,9.2,6,0,3,1,57,High
2,4,83,5.02,0,3,2,5,61,Low
10,3,53,6.23,3,2,3,3,92,High
8,3,74,8.7,3,1,4,5,71,High
2,4,64,6.58,4,2,1,2,40,Low
11,5,53,5.51,5,2,3,5,99,High
5,8,94,6.8,3,1,4,2,40,Low
7,7,61,6.35,1,1,1,2,84,Low
8,7,81,9.21,5,3,3,2,56,Medium
1,8,81,6.57,7,3,2,2,59,Low
6,9,77,8.94,7,0,2,2,85,Low
1,9,62,9.46,6,0,2,4,82,Low
2,3,80,7.17,5,2,4,5,99,Medium
1,3,63,9.55,1,1,2,4,94,Low
11,5,69,6.89,6,0,5,4,80,High
5,6,67,9.82,4,2,1,1,70,Low
10,4,78,5.45,5,1,4,1,92,High
9,3,55,8.44,7,3,2,1,72,Medium
6,7,81,7.47,7,2,1,3,45,Low
11,5,78,6.94,2,3,3,1,46,Medium
11,4,92,8.16,6,0,2,5,76,High
1,5,51,8.52,0,0,1,4,73,Low
1,4,72,5.02,0,1,5,5,45,Medium
2,4,68,5.83,6,2,3,1,70,Low
9,8,80,8.57,8,3,5,3,86,High
3,3,100,8.33,6,1,1,3,65,Medium
1,5,54,9.83,4,0,5,4,67,Medium
5,5,68,8.81,7,0,1,5,47,Medium
7,8,83,9.75,1,2,1,2,52,Low
6,7,59,8.51,8,3,5,5,75,High
12,7,74,6.49,5,2,1,1,92,Medium
1,9,51,5.53,8,3,2,2,90,Low
5,3,60,8.91,1,3,1,3,58,Low
5,3,99,8.22,2,2,4,4,65,Medium
6,6,80,5.24,7,1,1,4,89,Medium
3,8,64,6.8,0,2,4,3,44,Low
5,7,58,9.78,6,2,1,1,94,Low
7,4,72,7.5,6,0,1,3,36,Medium
5,5,68,7.16,0,0,5,1,49,Medium
5,3,58,7.29,8,2,2,2,37,Medium
5,5,84,6.04,7,2,2,3,77,Medium
10,5,70,6.84,3,0,3,1,65,Medium
10,6,58,6.85,4,3,5,2,90,Medium
3,7,77,5.26,1,2,5,3,97,Low
1,3,95,8.84,8,1,2,4,49,Medium
5,5,100,7.08,5,1,5,3,44,Medium
9,3,56,9.11,2,1,2,5,72,High
1,4,65,9.25,6,2,5,3,81,Medium
3,6,65,6.06,8,3,1,5,91,Medium
4,4,82,8.29,2,3,2,2,84,Low
1,3,53,7.36,1,0,2,3,49,Low
1,9,53,9.4,6,2,4,2,52,Low
8,3,88,6.08,6,3,5,2,36,High
2,7,89,8.39,3,2,5,1,77,Low
12,5,66,8.04,8,0,2,2,60,High
8,5,86,6.48,7,0,1,2,72,Medium
7,4,88,5.68,0,0,1,3,76,Medium
10,6,78,8.26,0,1,1,3,39,Medium
10,9,85,8.69,4,2,5,4,45,Medium
2,8,87,6.58,5,0,4,1,99,Low
6,5,88,8.22,2,2,2,2,68,Low
6,7,99,6.98,8,1,3,1,35,Medium
3,4,86,8.57,5,1,4,5,36,Medium
11,4,84,6.0,3,0,3,2,54,High
2,8,56,9.45,6,0,4,1,95,Low
12,7,76,6.44,7,3,1,4,55,Medium
1,6,77,6.84,8,2,5,4,46,Medium
6,7,71,5.29,5,0,3,2,56,Medium
12,6,63,5.56,5,3,4,5,54,High
5,7,56,7.58,7,2,5,4,35,Medium
11,7,86,6.34,4,0,3,4,64,High
9,3,71,9.18,2,3,2,5,58,Medium
1,4,54,5.07,2,3,4,1,48,Low
7,7,51,6.9,5,2,2,4,70,Medium
5,8,76,6.69,1,3,1,3,58,Low
5,7,70,5.1,5,2,2,4,94,Low
2,5,87,5.62,5,2,2,1,89,Low
11,4,64,7.07,7,2,4,1,58,High
3,5,70,7.46,6,1,1,2,58,Low
7,4,59,7.02,7,3,2,3,88,Medium
6,5,72,7.65,8,2,5,1,60,Medium
12,7,88,7.98,5,0,3,5,100,High
2,7,54,5.05,2,1,2,3,72,Low
6,3,50,7.32,2,1,1,3,99,Medium
2,8,62,9.82,0,3,2,5,85,Low
2,5,70,7.6,4,2,3,4,69,Low
2,6,75,8.39,3,3,1,5,77,Low
11,3,99,6.56,8,1,4,5,63,High
3,5,94,8.87,8,2,1,4,71,Medium
2,5,70,8.86,4,0,4,4,92,Medium
4,3,67,7.61,3,2,1,4,88,Medium
9,7,86,9.88,6,1,3,4,73,High
6,5,94,5.63,5,0,3,4,76,Medium
1,7,81,5.08,3,2,1,5,62,Low
8,3,85,8.85,1,0,2,2,63,Medium
12,7,66,9.04,0,0,3,2,77,Medium
7,4,84,5.6,3,1,4,1,37,Medium
10,6,98,6.33,3,0,4,2,44,Medium
3,9,60,5.09,0,3,5,2,93,Low
1,5,70,6.47,5,1,4,5,48,Medium
5,8,75,8.87,3,3,5,4,81,Medium
4,6,53,7.59,0,0,1,4,76,Low
10,9,83,6.74,0,3,1,5,66,Low
8,7,97,6.86,0,2,1,2,66,Low
1,5,67,5.01,7,0,2,5,76,Medium
10,7,89,6.5,7,2,2,1,66,Medium
1,4,84,8.23,1,3,5,4,60,Low
12,3,90,9.87,6,2,4,3,35,High
4,5,78,9.24,7,0,4,1,90,Medium
8,9,78,5.12,7,2,1,1,36,Low
5,9,87,9.49,6,3,3,5,64,Low
2,4,91,8.92,4,3,2,2,86,Low
6,4,70,8.9,0,3,2,4,43,Low
5,5,91,7.29,8,0,1,3,56,Medium
2,7,62,6.99,6,3,2,1,68,Low
11,8,98,6.51,1,0,1,3,83,Medium
11,9,90,5.33,5,2,5,2,35,Medium
11,9,66,6.14,1,3,4,2,87,Low
3,4,58,6.23,0,2,3,3,74,Low
9,6,90,7.42,6,1,4,4,79,High
7,4,50,8.74,1,2,4,2,43,Medium
7,8,51,7.37,1,1,5,3,56,Medium
11,7,97,5.29,4,2,2,1,52,Medium
6,7,78,9.79,4,0,3,3,77,Medium
8,6,82,9.71,6,2,2,3,73,Medium
4,9,59,8.93,0,0,4,5,40,Low
8,4,99,9.96,7,0,1,2,82,Medium
4,7,89,7.72,2,3,4,4,41,Low
8,8,70,9.81,3,0,2,4,50,Medium
9,5,77,5.38,8,1,4,5,35,High
3,3,60,6.83,3,3,1,4,71,Low
3,3,83,6.13,4,3,5,3,71,Medium
11,3,57,5.98,6,2,2,5,98,High
2,9,71,5.7,3,0,4,1,96,Low
10,4,57,8.11,0,0,2,2,95,Medium
3,6,98,8.91,8,1,5,2,67,Medium
3,7,64,7.89,3,2,4,2,100,Low
5,5,66,5.73,8,2,4,3,64,Medium
5,8,72,9.06,5,3,2,1,54,Low
2,5,73,8.18,0,3,2,5,94,Low
12,8,94,6.94,2,3,1,5,58,Medium
10,9,68,8.37,1,1,5,2,38,Medium
6,4,54,6.3,8,1,1,1,71,Medium
5,3,81,6.73,0,3,4,1,38,Low
6,4,93,9.59,8,2,2,1,52,Medium
1,9,50,6.45,8,1,4,4,100,Low
5,6,72,7.35,7,2,4,4,82,Medium
9,6,86,9.45,7,2,3,2,67,Medium
12,9,57,8.54,0,0,3,1,92,Low
10,8,62,5.31,7,3,4,1,62,Medium
2,7,57,5.74,2,0,2,5,69,Low
1,7,72,5.04,6,3,4,5,44,Low
10,8,92,8.15,0,3,3,2,99,Low
11,6,50,7.24,0,2,2,1,76,Low
9,6,94,5.67,4,3,4,2,43,Medium
10,6,100,9.79,4,2,5,5,94,High
9,4,73,7.65,7,2,5,5,49,High
9,6,84,6.21,6,3,4,4,91,High
6,5,73,7.5,7,2,2,2,56,Medium
8,3,66,8.4,5,2,4,2,98,High
11,6,54,5.38,5,2,4,1,75,Medium
1,8,69,6.37,1,1,3,1,90,Low
10,3,70,9.03,5,2,5,4,57,High
4,4,89,7.3,4,1,3,3,59,Medium
1,8,80,7.73,2,1,3,3,40,Low
8,3,95,7.16,5,2,4,3,68,High
1,8,85,5.22,7,2,3,2,97,Low
3,4,60,5.83,8,1,5,2,43,Medium
4,5,64,7.23,0,1,3,5,94,Medium
8,4,68,6.05,2,2,5,2,83,Medium
6,4,56,5.25,2,2,3,2,85,Medium
10,8,100,9.22,7,3,5,2,94,Medium
12,9,77,9.91,0,1,3,4,71,Medium
7,7,100,8.97,4,1,3,2,65,Medium
8,6,92,9.27,2,3,2,1,75,Low
2,6,54,6.21,1,1,5,1,96,Low
10,5,54,9.8,7,0,5,5,92,High
11,5,79,5.98,2,1,5,4,48,High
8,6,81,9.76,6,3,1,1,70,Low
3,7,57,9.97,0,0,3,4,70,Low
7,6,59,8.56,5,2,5,4,42,High
3,9,87,9.91,2,3,1,5,60,Low
7,7,96,7.85,7,3,2,4,70,Medium
11,5,81,6.3,5,2,5,2,82,High
12,3,97,7.18,1,3,5,4,62,High
2,8,77,7.97,5,1,1,5,96,Low
10,9,66,5.37,6,2,3,5,85,Medium
6,9,80,8.11,4,3,2,5,76,Low
3,5,57,9.91,2,2,5,1,63,Low
3,5,89,5.95,3,2,3,2,44,Low
9,4,74,8.96,3,2,2,1,73,Medium
7,9,58,9.54,5,0,4,3,35,Medium
5,4,51,9.72,0,3,4,2,73,Low
12,4,64,9.8,3,0,2,4,55,High
10,8,99,7.61,3,3,1,5,99,Medium
7,4,52,9.89,0,1,2,3,49,Medium
9,7,98,8.79,8,1,2,2,38,Medium
1,6,85,5.81,3,1,1,1,94,Low
7,3,53,7.38,6,3,1,5,95,Medium
6,5,63,8.59,2,2,3,1,54,Low
10,7,90,6.24,2,2,3,2,44,Medium
12,3,90,8.2,7,0,1,2,68,High
9,9,74,8.33,7,0,4,3,82,Medium
1,9,99,5.81,0,1,4,4,67,Low
4,9,59,7.83,1,0,2,1,95,Low
9,7,70,8.86,7,3,5,3,44,High
4,7,85,7.49,0,3,2,5,88,Low
10,5,61,5.06,7,0,2,4,99,High
3,6,76,5.05,7,0,5,3,35,Medium
9,4,89,6.79,1,0,1,1,39,Medium
2,9,51,9.63,3,0,4,2,49,Low
4,8,62,6.14,5,1,2,5,62,Medium
6,6,81,8.17,8,1,5,1,57,Medium
2,8,80,6.11,7,0,3,4,51,Medium
8,5,65,6.61,7,3,2,4,47,Medium
8,5,81,9.24,6,1,4,2,48,High
1,5,81,8.64,8,3,1,2,45,Low
12,3,83,5.48,1,2,2,5,62,High
3,8,60,7.14,2,3,2,5,76,Low
10,6,59,5.15,7,0,5,2,95,High
9,6,64,7.4,5,2,3,2,98,Medium
5,7,66,8.31,8,1,3,4,65,Medium
6,7,89,5.59,3,1,1,2,44,Low
4,9,67,6.44,7,2,4,3,42,Low
10,7,58,6.99,2,3,1,1,55,Low
2,5,74,9.6,2,1,2,2,93,Low
11,6,89,9.97,7,0,2,5,84,High
8,8,63,5.22,4,2,3,3,64,Medium
11,5,74,8.81,2,0,4,5,51,High
6,3,99,6.86,0,2,5,3,54,Medium
5,7,71,6.96,2,1,4,2,82,Low
9,5,79,8.77,8,3,2,1,36,Medium
1,5,69,9.59,4,2,5,5,71,Medium
5,3,70,9.75,1,2,4,3,35,Medium
6,4,93,7.89,6,0,4,4,38,High
5,6,81,6.79,1,1,5,2,88,Medium
6,8,100,8.94,3,0,2,1,59,Low
6,9,95,6.26,6,1,4,2,37,Medium
7,4,98,7.82,3,0,5,4,43,High
